Accession	Kingdom	Family	Genus	Species	Molecule_type	Length	Nuc_Completeness	Geo_Location	BioSample	Lat_long	Gene_Description	Host	Host_Disease
KT963942.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			White spot syndrome virus clone 25KR VP28 gene, partial cds	Penaeus monodon	Potential pathogen
KT963943.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			White spot syndrome virus clone 26KR VP28 gene, complete cds	Penaeus monodon	Potential pathogen
KT963944.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			White spot syndrome virus clone 28KR VP28 gene, complete cds	Penaeus monodon	Potential pathogen
KT963933.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			White spot syndrome virus clone 2KRISH VP28 gene, complete cds	Penaeus monodon	Potential pathogen
KT963937.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			White spot syndrome virus clone 6KR VP28 gene, complete cds	Penaeus monodon	Potential pathogen
KT963938.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			White spot syndrome virus clone 7KR VP28 gene, complete cds	Penaeus monodon	Potential pathogen
MF489076.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	Bangladesh:Debhata, Satkhira			White spot syndrome virus isolate BAN_SH_DE-4_2015 envelope protein (VP28) gene, complete cds	Penaeus monodon	Potential pathogen
KP219387.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	Bangladesh:Satkhira			White spot syndrome virus isolate BAN_SH_MU-23_2014 VP28 gene, complete cds	Penaeus monodon	Potential pathogen
KR057960.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	India			White spot syndrome virus isolate PM1/SRLFDA/2010 VP28 (VP28) gene, complete cds	Penaeus monodon	Potential pathogen
MZ383198.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	Bangladesh			White spot syndrome virus strain CSU1 outer membrane protein VP28 gene, complete cds	Penaeus monodon	Potential pathogen
MZ383197.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	Bangladesh			White spot syndrome virus strain CSU2 outer membrane protein VP28 gene, complete cds	Penaeus monodon	Potential pathogen
MZ383196.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	615	Partial	Bangladesh			White spot syndrome virus strain CSU3 outer membrane protein VP28 gene, complete cds	Penaeus monodon	Potential pathogen
JX027479.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	627	Partial	India			Shrimp white spot syndrome virus strain KKD WSV477 gene, complete cds	Penaeus monodon	Potential pathogen
KX388150.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	627	Partial	India			White spot syndrome virus WSV 477 gene, complete cds	Penaeus monodon	Potential pathogen
AY249441.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	638	Partial	Indonesia			Shrimp white spot syndrome virus isolate Indonesia 97 VP28 gene, complete cds	Penaeus monodon	Potential pathogen
AY249439.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	641	Partial	Indonesia			Shrimp white spot syndrome virus isolate Indonesia 97 VP26 gene, complete cds	Penaeus monodon	Potential pathogen
KU556687.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	641	Partial	India			White spot syndrome virus isolate VELLAR_ESTURY_TAMIL NADU major envelope protein (VP26) gene, complete cds	Penaeus monodon	Potential pathogen
MF682101.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	642	Partial	Australia			UNVERIFIED: White spot syndrome virus clone 9d genomic sequence	Penaeus monodon	Potential pathogen
MF405922.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	650	Partial	Australia			UNVERIFIED: White spot syndrome virus ORF-125-like gene, partial sequence	Penaeus monodon	Potential pathogen
MZ327620.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	652	Partial	Madagascar			UNVERIFIED: White spot syndrome virus strain WSSV-MD-II-2012 ORF125-like gene, partial sequence	Penaeus monodon	Potential pathogen
DQ681070.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	657	Partial	India			Shrimp white spot syndrome virus from India VP26 (VP26) gene, partial cds	Penaeus monodon	Potential pathogen
KY273346.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	659	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 111 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
KY273355.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	661	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 127 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
KY273357.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	667	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 129 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
KY273349.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	668	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 119 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
KY273352.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	669	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 123 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
KY273353.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	669	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 124 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
FJ356711.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	680	Partial	Thailand			Shrimp white spot syndrome virus isolate chantaburi-2 hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
FJ356712.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	689	Partial	Thailand			Shrimp white spot syndrome virus isolate chantaburi-3 hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
FJ356713.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	689	Partial	Thailand			Shrimp white spot syndrome virus isolate chantaburi-4 hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
FJ356714.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	689	Partial	Thailand			Shrimp white spot syndrome virus isolate chantaburi-5 hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
KY273345.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	710	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 108 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
KY273341.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	720	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 101 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
KY273347.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	720	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 113 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
KY273351.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	720	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 122 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
HQ735419.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	721	Partial	Viet Nam			Shrimp white spot syndrome virus isolate BK01 truncated VP292 gene, partial cds	Penaeus monodon	Potential pathogen
MZ327619.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	721	Partial	Madagascar			UNVERIFIED: White spot syndrome virus strain WSSV-MD-I-2012 ORF125-like gene, partial sequence	Penaeus monodon	Potential pathogen
KY273343.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	721	Partial	Philippines:Camarines Norte			White spot syndrome virus isolate O-CAM 103 ORF94 gene, partial sequence	Penaeus monodon	Potential pathogen
DQ681068.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	736	Partial	India			Shrimp white spot syndrome virus from India VP24 (VP24) gene, complete cds	Penaeus monodon	Potential pathogen
AY249458.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	740	Partial	Indonesia			Shrimp white spot syndrome virus isolate Indonesia 97 VP24 gene, complete cds	Penaeus monodon	Potential pathogen
MN462691.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	773	Partial	Sri Lanka:Puttalam			White spot syndrome virus strain WS01-PUT ORF94 protein (ORF94) gene, partial cds	Penaeus monodon	Potential pathogen
MN462692.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	773	Partial	Sri Lanka:Batticaloa			White spot syndrome virus strain WS05-BAT ORF94 protein (ORF94) gene, partial cds	Penaeus monodon	Potential pathogen
MN462693.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	773	Partial	Sri Lanka:Chilaw			White spot syndrome virus strain WS40-CHI ORF94 protein (ORF94) gene, partial cds	Penaeus monodon	Potential pathogen
MN462694.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	773	Partial	Sri Lanka:Chilaw			White spot syndrome virus strain WS45-CHI ORF94 protein (ORF94) gene, partial cds	Penaeus monodon	Potential pathogen
MN462695.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	773	Partial	Sri Lanka:Chilaw			White spot syndrome virus strain WS46-CHI ORF94 protein (ORF94) gene, partial cds	Penaeus monodon	Potential pathogen
JX027482.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	786	Partial	India			Shrimp white spot syndrome virus strain KKD WSV340 and WSV341 genes, complete cds	Penaeus monodon	Potential pathogen
MF682110.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	786	Partial	Australia			White spot syndrome virus clone 9a hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
MF287678.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	786	Partial	Australia			White spot syndrome virus isolate 13 capsid protein gene, partial cds	Penaeus monodon	Potential pathogen
MF537411.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	786	Partial	Australia			White spot syndrome virus strain 3 hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
EF534251.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	846	Partial	India			Shrimp white spot syndrome virus envelope protein VP281 (vp281) gene, complete cds	Penaeus monodon	Potential pathogen
MF161440.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	888	Partial	Australia			Shrimp white spot syndrome virus strain Australian monodon Farm 1 hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
MF682100.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	920	Partial	Australia			UNVERIFIED: White spot syndrome virus clone 9c genomic sequence	Penaeus monodon	Potential pathogen
AJ297947.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	941	Partial	Viet Nam:Hai Phong			White spot syndrome baculovirus DNA fragment	Penaeus monodon	Potential pathogen
MZ327626.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	1265	Partial	Madagascar			UNVERIFIED: White spot syndrome virus strain WSSV-MD-I-2012 VR23/24-like gene, partial sequence	Penaeus monodon	Potential pathogen
MF161441.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	1284	Partial	Australia			Shrimp white spot syndrome virus strain aus_retail_1 hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
MF161442.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	1284	Partial	Australia			Shrimp white spot syndrome virus strain aus_retail_2 hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
MF161443.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	1284	Partial	Australia			Shrimp white spot syndrome virus strain Australian monodon Farm 2 hypothetical protein gene, partial cds	Penaeus monodon	Potential pathogen
JX564899.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	1385	Partial	Viet Nam			Shrimp white spot syndrome virus isolate CM-VN1 nonfunctional NS protein gene, partial sequence	Penaeus monodon	Potential pathogen
EF534255.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	1401	Partial	India			Shrimp white spot syndrome virus envelope protein VP466 (vp466) gene, complete cds	Penaeus monodon	Potential pathogen
U50923.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	1461	Partial				Penaeus monodon nonoccluded baculovirus III SalI fragment genomic sequence	Penaeus monodon	Potential pathogen
MZ327624.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	1739	Partial	Madagascar			UNVERIFIED: White spot syndrome virus strain WSSV-MD-I-2012 ORF73 and ORF77-like gene, partial sequence	Penaeus monodon	Potential pathogen
MZ327625.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	1850	Partial	Madagascar			UNVERIFIED: White spot syndrome virus strain WSSV-MD-I-2012 VR14/15-like gene, partial sequence	Penaeus monodon	Potential pathogen
MH883319.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	276835	Partial	India			White spot syndrome virus isolate wssv_ciba_003	Penaeus monodon	Potential pathogen
MF768985.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	285973	Complete	Australia			White spot syndrome virus isolate WSSV-AU	Penaeus monodon	Potential pathogen
KY273373.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 101 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273374.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 103 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273375.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 104 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273376.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 105 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273377.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 106 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273378.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 107 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273379.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 109 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273380.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 110 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273381.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 111 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273382.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 112 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273383.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 116 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273384.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 118 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273385.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 119 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273386.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 129 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
KY273387.1	Virus	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	ssDNA(+/-)	306	Partial	Philippines:Camarines Norte			Decapod penstyldensovirus 1 isolate I-CAM 130 nonstructural protein 1 gene, partial cds	Penaeus monodon	Potential pathogen
HQ728430.1	Virus			Laem Singh virus	ssRNA(+)	357	Partial	India:Pancham Aqua Farm, Mumbai			Laem Singh virus isolate Mumbai putative RNA-dependent RNA polymerase gene, partial cds	Penaeus monodon	Potential pathogen
AY249451.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	413	Partial	USA:South Carolina			Shrimp white spot syndrome virus isolate US 98/South Carolina VP15 gene, complete cds	Penaeus setiferus	Potential pathogen
AY249437.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	641	Partial	USA:South Carolina			Shrimp white spot syndrome virus isolate US 98/South Carolina VP26 gene, complete cds	Penaeus setiferus	Potential pathogen
AY249442.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	654	Partial	USA:South Carolina			Shrimp white spot syndrome virus isolate US 98/South Carolina VP28 gene, complete cds	Penaeus setiferus	Potential pathogen
AY249456.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	730	Partial	USA:South Carolina			Shrimp white spot syndrome virus isolate US 98/South Carolina VP24 gene, complete cds	Penaeus setiferus	Potential pathogen
MF682123.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	195	Partial	Viet Nam			UNVERIFIED: White spot syndrome virus clone 33a genomic sequence	Penaeus vannamei	Potential pathogen
KF157840.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	203	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVB2 ORF-75 gene, partial cds	Penaeus vannamei	Potential pathogen
KF157842.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	204	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVKH6 ORF-94 gene, partial cds	Penaeus vannamei	Potential pathogen
KC906277.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	216	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVKH5 hypothetical protein 94(7Kh) gene, partial cds	Penaeus vannamei	Potential pathogen
MF682105.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	225	Partial	Viet Nam			UNVERIFIED: White spot syndrome virus clone 11b genomic sequence	Penaeus vannamei	Potential pathogen
MF682118.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	225	Partial	China			UNVERIFIED: White spot syndrome virus clone 34a genomic sequence	Penaeus vannamei	Potential pathogen
KC906276.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	231	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVKH4 hypothetical protein 94(6Kh) gene, partial cds	Penaeus vannamei	Potential pathogen
KC906275.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	249	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVKH2 hypothetical protein 94(4Kh) gene, partial cds	Penaeus vannamei	Potential pathogen
MH757095.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	255	Partial	India			White spot syndrome virus isolate NC/SRLAAH/2017 hypothetical protein gene, partial cds	Penaeus vannamei	Potential pathogen
MH365436.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	255	Partial	India			White spot syndrome virus isolate R2/SRLAAH/2017 hypothetical protein gene, partial cds	Penaeus vannamei	Potential pathogen
MH757096.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	276	Partial	India			White spot syndrome virus isolate OA/SRLAAH/2017 hypothetical protein gene, partial cds	Penaeus vannamei	Potential pathogen
KT957072.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	285	Partial	Mexico:Sonora			White spot syndrome virus strain Mx-C ORF166 gene, partial cds	Penaeus vannamei	Potential pathogen
KT957071.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	285	Partial	Mexico:Sinaloa			White spot syndrome virus strain Mx-F ORF166 gene, partial cds	Penaeus vannamei	Potential pathogen
KT957073.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	285	Partial	Mexico:Sinaloa			White spot syndrome virus strain Mx-G ORF166 gene, partial cds	Penaeus vannamei	Potential pathogen
KT957074.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	285	Partial	Mexico:Sinaloa			White spot syndrome virus strain Mx-H ORF166 gene, partial cds	Penaeus vannamei	Potential pathogen
KT957075.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	285	Partial	Mexico:Sonora			White spot syndrome virus strain Mx12-1 ORF166 gene, partial cds	Penaeus vannamei	Potential pathogen
FJ756468.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	290	Partial	Mexico:Northern coast of Sinaloa			Shrimp white spot syndrome virus strain L1 envelope protein VP19 (VP19) gene, partial cds	Penaeus vannamei	Potential pathogen
FJ756465.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	290	Partial	Mexico:Sonora			Shrimp white spot syndrome virus strain WSSV-Mx-C-2005 envelope protein VP19 (VP19) gene, partial cds	Penaeus vannamei	Potential pathogen
FJ756466.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	290	Partial	Mexico:Sinaloa			Shrimp white spot syndrome virus strain WSSV-Mx-G-2004 envelope protein VP19 (VP19) gene, partial cds	Penaeus vannamei	Potential pathogen
FJ756467.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	290	Partial	Mexico:Sinaloa			Shrimp white spot syndrome virus strain WSSV-Mx-H-2004 envelope protein VP19 (VP19) gene, partial cds	Penaeus vannamei	Potential pathogen
FJ756460.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	301	Partial	Mexico:Northern coast of Sinaloa			Shrimp white spot syndrome virus strain L1 major structural protein VP24 (VP24) gene, partial cds	Penaeus vannamei	Potential pathogen
FJ756457.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	301	Partial	Mexico:Sonora			Shrimp white spot syndrome virus strain WSSV-Mx-C-2005 major structural protein VP24 (VP24) gene, partial cds	Penaeus vannamei	Potential pathogen
FJ756458.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	301	Partial	Mexico:Sinaloa			Shrimp white spot syndrome virus strain WSSV-Mx-G-2004 major structural protein VP24 (VP24) gene, partial cds	Penaeus vannamei	Potential pathogen
FJ756459.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	301	Partial	Mexico:Sinaloa			Shrimp white spot syndrome virus strain WSSV-Mx-H-2004 major structural protein VP24 (VP24) gene, partial cds	Penaeus vannamei	Potential pathogen
MH553567.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	308	Partial	Costa Rica			White spot syndrome virus isolate 18-Ab01 envelope protein (VP41B) gene, partial cds	Penaeus vannamei	Potential pathogen
KC906266.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	314	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVKH3 hypothetical protein 94(5Kh) gene, partial cds	Penaeus vannamei	Potential pathogen
KU531723.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	319	Partial	Saudi Arabia			White spot syndrome virus isolate SA 2 envelope protein gene, partial cds	Penaeus vannamei	Potential pathogen
MF682109.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	336	Partial	Viet Nam			UNVERIFIED: White spot syndrome virus clone 11g genomic sequence	Penaeus vannamei	Potential pathogen
MF682127.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	336	Partial	Viet Nam			UNVERIFIED: White spot syndrome virus clone 33f genomic sequence	Penaeus vannamei	Potential pathogen
MH757094.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	342	Partial	India			White spot syndrome virus isolate GT/SRLAAH/2017 hypothetical protein gene, partial cds	Penaeus vannamei	Potential pathogen
MK239908.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	362	Partial	Brazil:Rio Grande do Norte			UNVERIFIED: White spot syndrome virus isolate FPB genomic sequence	Penaeus vannamei	Potential pathogen
AB974691.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	366	Partial	Iran:Choebdeh, shrimp farms			Shrimp white spot syndrome virus VP19 gene for structural protein VP19, complete cds	Penaeus vannamei	Potential pathogen
KT964172.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	369	Partial	Mexico:Sonora			White spot syndrome virus strain Mx12-1 ORF167 gene, partial cds	Penaeus vannamei	Potential pathogen
KT964169.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	369	Partial	Mexico:Sonora			White spot syndrome virus strain WSSV-Mx-C-2005 ORF167 gene, partial cds	Penaeus vannamei	Potential pathogen
KT964168.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	369	Partial	Mexico:Sinaloa			White spot syndrome virus strain WSSV-Mx-F-2001 ORF167 gene, partial cds	Penaeus vannamei	Potential pathogen
KT964170.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	369	Partial	Mexico:Sinaloa			White spot syndrome virus strain WSSV-Mx-G-2004 ORF167 gene, partial cds	Penaeus vannamei	Potential pathogen
KT964171.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	369	Partial	Mexico:Sinaloa			White spot syndrome virus strain WSSV-Mx-H-2004 ORF167 gene, partial cds	Penaeus vannamei	Potential pathogen
KF835979.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	387	Partial	Iran			Shrimp white spot syndrome virus isolate IRWSSVSIS1 ORF-75 gene, partial cds	Penaeus vannamei	Potential pathogen
